WKT,fid,u,v,osmid,name,highway,oneway,reversed,length,lanes,ref,access,service,maxspeed,bridge,junction,tunnel,area,width,split_CYD
"LINESTRING (-81.9156469 26.5045318,-81.9156826 26.5043721,-81.9157715 26.5042308)",26499,1800540789,1800540783,168870765,,service,False,True,36.141,,,,,,,,,,,0.0
"LINESTRING (-81.9154355 26.5045025,-81.9156469 26.5045318)",26500,1800540790,1800540789,168870558,,service,False,True,21.287,,,,,,,,,,,0.0
"LINESTRING (-81.9160443 26.5040129,-81.9158757 26.5040984,-81.9157715 26.5042308)",26501,1800540799,1800540783,168870765,,service,False,False,37.291,,,,,,,,,,,0.0
"LINESTRING (-81.9160443 26.5040129,-81.9162589 26.5042577,-81.9163907 26.5043401)",26502,1800540799,1800540788,168870765,,service,False,True,50.596,,,,,,,,,,,0.0
"LINESTRING (-81.9160443 26.5040129,-81.9162444 26.5039836,-81.9162783 26.5040073,-81.9163961 26.5041549,-81.9164403 26.5042169,-81.9164388 26.5042564,-81.9163907 26.5043401)",26503,1800540799,1800540788,891838758,,service,False,True,67.666,,,,,,,,,,,0.0
"LINESTRING (-81.9166773 26.5045193,-81.9163907 26.5043401)",26504,1800540801,1800540788,168870765,,service,False,False,34.791,,,,,,,,,,,0.0
"LINESTRING (-81.9165671 26.5024933,-81.9165463 26.5025334,-81.9165141 26.5026246,-81.916503 26.5027263,-81.916503 26.5028151,-81.9165217 26.5029207,-81.9165517 26.5030063,-81.9165809 26.5030562)",26505,1800544357,1800544373,168870764,Cypress Villa Lane,service,False,False,64.914,,,,,,,,,,,0.0
"LINESTRING (-81.9165671 26.5024933,-81.9166326 26.502531,-81.9166831 26.5025718,-81.9167238 26.5026182,-81.9167444 26.5026567,-81.9167692 26.5026986,-81.9167792 26.5027431,-81.9167836 26.5027919,-81.9167743 26.5028359,-81.9167528 26.5029223,-81.9167318 26.5029623,-81.9166917 26.5029972,-81.9165809 26.5030562)",26506,1800544357,1800544373,168871232,,service,False,True,79.72,,,,,,,,,,,0.0
"LINESTRING (-81.9165671 26.5024933,-81.9165999 26.5024302,-81.9166536 26.5023486,-81.9167471 26.5022774,-81.9168199 26.502243,-81.9169003 26.5022262,-81.9169589 26.502227,-81.9170475 26.5022462,-81.917136 26.5022846,-81.9172437 26.5023342,-81.9173322 26.5023606,-81.9173632 26.5023686)",26507,1800544357,1800544437,168870764,Cypress Villa Lane,service,False,True,96.13,,,,,,,,,,,0.0
"LINESTRING (-81.9173511 26.5036412,-81.9173858 26.5036856,-81.9174261 26.5037648,-81.9174502 26.5038632,-81.9174546 26.5039407)",26508,1800544371,1800544375,168871227,,service,True,False,35.532,,,,,,,,,,,0.0
"LINESTRING (-81.9173511 26.5036412,-81.9171768 26.5037141,-81.9173349 26.5039448,-81.9174546 26.5039407)",26509,1800544371,1800544375,168871229,,service,True,False,61.158,,,,,,,,,,,0.0
"LINESTRING (-81.9165809 26.5030562,-81.916621 26.5031247,-81.916672 26.5032351,-81.9167072 26.5033159,-81.9167425 26.5034463)",26510,1800544373,1800540786,168870764,Cypress Villa Lane,service,False,False,46.445,,,,,,,,,,,0.0
"LINESTRING (-81.9165809 26.5030562,-81.9165517 26.5030063,-81.9165217 26.5029207,-81.916503 26.5028151,-81.916503 26.5027263,-81.9165141 26.5026246,-81.9165463 26.5025334,-81.9165671 26.5024933)",26511,1800544373,1800544357,168870764,Cypress Villa Lane,service,False,True,64.914,,,,,,,,,,,0.0
"LINESTRING (-81.9165809 26.5030562,-81.9166917 26.5029972,-81.9167318 26.5029623,-81.9167528 26.5029223,-81.9167743 26.5028359,-81.9167836 26.5027919,-81.9167792 26.5027431,-81.9167692 26.5026986,-81.9167444 26.5026567,-81.9167238 26.5026182,-81.9166831 26.5025718,-81.9166326 26.502531,-81.9165671 26.5024933)",26512,1800544373,1800544357,168871232,,service,False,False,79.72,,,,,,,,,,,0.0
"LINESTRING (-81.9174546 26.5039407,-81.9174636 26.5041008,-81.9174931 26.5041872,-81.9175628 26.5042496,-81.9176516 26.5042672)",26513,1800544375,1800544407,168871227,,service,True,False,46.732,,,,,,,,,,,0.0
"LINESTRING (-81.9180239 26.5033999,-81.917882 26.5033879,-81.9175441 26.5033831,-81.9173184 26.503384,-81.9172593 26.5033874)",26514,1800544381,1800544386,168870566,Cypress Cove Drive,unclassified,False,False,76.163,,,,,,,,,,,0.0
"LINESTRING (-81.9180239 26.5033999,-81.91811 26.5034071,-81.9184668 26.5034479,-81.9187618 26.5034935,-81.9189009 26.5035448,-81.918976 26.5035928,-81.9190299 26.5036592,-81.9190755 26.5037648,-81.9190889 26.5038992,-81.9191155 26.5049803)",26515,1800544381,1800545058,168870566,Cypress Cove Drive,unclassified,False,True,255.303,,,,,,,,,,,0.0
"LINESTRING (-81.9172593 26.5033874,-81.9169831 26.5034032,-81.9168172 26.5034263,-81.9167425 26.5034463)",26516,1800544386,1800540786,168870566,Cypress Cove Drive,unclassified,False,False,52.007,,,,,,,,,,,0.0
"LINESTRING (-81.9172593 26.5033874,-81.9173184 26.503384,-81.9175441 26.5033831,-81.917882 26.5033879,-81.9180239 26.5033999)",26517,1800544386,1800544381,168870566,Cypress Cove Drive,unclassified,False,True,76.163,,,,,,,,,,,0.0
"LINESTRING (-81.9172593 26.5033874,-81.9172946 26.503556,-81.9173264 26.5036096,-81.9173511 26.5036412)",26518,1800544386,1800544371,168871227,,service,True,False,30.11,,,,,,,,,,,0.0
"LINESTRING (-81.9178916 26.5041968,-81.9179245 26.5041689,-81.9179598 26.5041056,-81.9179792 26.5040079,-81.9179755 26.5039216,-81.9179758 26.5038472)",26519,1800544406,1800544420,168871227,,service,True,False,41.286,,,,,,,,,,,0.0
"LINESTRING (-81.9176516 26.5042672,-81.9176885 26.5042745,-81.9177586 26.5042664,-81.9178333 26.5042433,-81.9178659 26.5042184,-81.9178916 26.5041968)",26520,1800544407,1800544406,168871227,,service,True,False,26.432,,,,,,,,,,,0.0
"LINESTRING (-81.9176516 26.5042672,-81.9176165 26.5044367,-81.9176245 26.5044848,-81.917654 26.5045088,-81.9179621 26.5044545,-81.9180081 26.5044175,-81.9180215 26.5043649,-81.9179996 26.5043177,-81.9178916 26.5041968)",26521,1800544407,1800544406,168871231,,service,True,False,94.837,,,,,,,,,,,0.0
"LINESTRING (-81.9179758 26.5038472,-81.9179759 26.5038008,-81.9180062 26.5035473)",26522,1800544420,1800544444,168871227,,service,True,False,33.508,,,,,,,,,,,0.0
"LINESTRING (-81.9179758 26.5038472,-81.9181064 26.5038579,-81.9181316 26.5038347,-81.91816 26.5035964,-81.9181368 26.5035688,-81.9180062 26.5035473)",26523,1800544420,1800544444,168871230,,service,True,False,60.35,,,,,,,,,,,0.0
"LINESTRING (-81.9180006 26.5023264,-81.9179196 26.502363,-81.9178602 26.5023806,-81.9177824 26.502395,-81.9176939 26.5023998,-81.9175602 26.502399,-81.9174471 26.5023902,-81.9173632 26.5023686)",26524,1800544436,1800544437,168870764,Cypress Villa Lane,service,False,False,65.274,,,,,,,,,,,0.0
"LINESTRING (-81.9180006 26.5023264,-81.917941 26.5022454,-81.9178659 26.502195,-81.9177908 26.5021758,-81.917697 26.502171,-81.9175709 26.5021974,-81.9174851 26.5022286,-81.9174042 26.5022966,-81.9173632 26.5023686)",26525,1800544436,1800544437,168871228,,service,False,True,79.38,,,,,,,,,,,0.0
"LINESTRING (-81.9180006 26.5023264,-81.9180828 26.5022702,-81.9181338 26.502191,-81.9181713 26.5020974,-81.9182368 26.5020031,-81.9182583 26.5019326,-81.9184801 26.501826)",26526,1800544436,6304139927,168870764,Cypress Villa Lane,service,False,True,77.04,,,,,,,,,,,0.0
"LINESTRING (-81.9173632 26.5023686,-81.9173322 26.5023606,-81.9172437 26.5023342,-81.917136 26.5022846,-81.9170475 26.5022462,-81.9169589 26.502227,-81.9169003 26.5022262,-81.9168199 26.502243,-81.9167471 26.5022774,-81.9166536 26.5023486,-81.9165999 26.5024302,-81.9165671 26.5024933)",26527,1800544437,1800544357,168870764,Cypress Villa Lane,service,False,False,96.13,,,,,,,,,,,0.0
"LINESTRING (-81.9173632 26.5023686,-81.9174471 26.5023902,-81.9175602 26.502399,-81.9176939 26.5023998,-81.9177824 26.502395,-81.9178602 26.5023806,-81.9179196 26.502363,-81.9180006 26.5023264)",26528,1800544437,1800544436,168870764,Cypress Villa Lane,service,False,True,65.274,,,,,,,,,,,0.0
"LINESTRING (-81.9173632 26.5023686,-81.9174042 26.5022966,-81.9174851 26.5022286,-81.9175709 26.5021974,-81.917697 26.502171,-81.9177908 26.5021758,-81.9178659 26.502195,-81.917941 26.5022454,-81.9180006 26.5023264)",26529,1800544437,1800544436,168871228,,service,False,False,79.38,,,,,,,,,,,0.0
"LINESTRING (-81.9180062 26.5035473,-81.9180239 26.5033999)",26530,1800544444,1800544381,168871227,,service,True,False,16.485,,,,,,,,,,,0.0
"LINESTRING (-81.9191155 26.5049803,-81.9188955 26.5049877)",26531,1800545058,1800545050,168871306,,service,False,False,21.907,,,,,,,,,,,0.0
"LINESTRING (-81.9191155 26.5049803,-81.9190889 26.5038992,-81.9190755 26.5037648,-81.9190299 26.5036592,-81.918976 26.5035928,-81.9189009 26.5035448,-81.9187618 26.5034935,-81.9184668 26.5034479,-81.91811 26.5034071,-81.9180239 26.5033999)",26532,1800545058,1800544381,168870566,Cypress Cove Drive,unclassified,False,False,255.303,,,,,,,,,,,0.0
"LINESTRING (-81.9191155 26.5049803,-81.9191264 26.5054257,-81.9191345 26.5055865,-81.9191047 26.5057339,-81.9190406 26.5058985,-81.9189414 26.5060593,-81.9188396 26.5061938,-81.9188089 26.5062269,-81.9187319 26.5063099,-81.9186432 26.5063986)",26533,1800545058,1800539277,168870566,Cypress Cove Drive,unclassified,False,True,171.975,,,,,,,,,,,0.0
"LINESTRING (-81.9189359 26.5113431,-81.917102 26.511379)",26534,1800569338,1800569394,168873919,Boraso Way,residential,False,False,182.521,,,,,,,,,,,27.5
"LINESTRING (-81.9189359 26.5113431,-81.9189198 26.5107455)",26535,1800569338,1800569464,168873926,Via Solera Circle,residential,False,False,66.469,,,,,,,,,,,36.833333333333336
"LINESTRING (-81.9189359 26.5113431,-81.9189414 26.5115438,-81.9189226 26.5117143,-81.9189253 26.5118319,-81.9189412 26.5119357)",26536,1800569338,1800569462,168873926,Via Solera Circle,residential,False,True,66.104,,,,,,,,,,,22.0
"LINESTRING (-81.9189039 26.5101575,-81.9188819 26.5094352)",26537,1800569343,1800569447,168873926,Via Solera Circle,residential,False,False,80.346,,,,,,,,,,,0.0
"LINESTRING (-81.9189039 26.5101575,-81.9189198 26.5107455)",26538,1800569343,1800569464,168873926,Via Solera Circle,residential,False,True,65.402,,,,,,,,,,,14.833333333333334
"LINESTRING (-81.9189039 26.5101575,-81.9177533 26.5101781,-81.9176487 26.5101637,-81.9175709 26.5101325,-81.9175119 26.5100797,-81.9174475 26.5100077,-81.9172489 26.5097513)",26539,1800569343,1800569373,168873918,Solera Cove Point,residential,False,False,186.773,,,,,,,,,,,16.333333333333332
"LINESTRING (-81.9187749 26.5093371,-81.9186208 26.5093438,-81.9184559 26.5093554,-81.9183143 26.5093705,-81.9181757 26.5093923,-81.9180415 26.5094217,-81.9179042 26.5094603,-81.9177699 26.5095053,-81.9176539 26.5095471)",26540,1800569348,1800569395,168873916,Healthpark Circle,residential,False,True,114.783,,,,,,,,,,,18.75
"LINESTRING (-81.9187749 26.5093371,-81.918781 26.509371,-81.9187997 26.509401,-81.9188287 26.5094235,-81.9188646 26.5094357,-81.9188819 26.5094352)",26541,1800569348,1800569447,168873923,Healthpark Circle,residential,True,False,17.0,,,,,,,roundabout,,,,17.75
"LINESTRING (-81.9173586 26.5093006,-81.9174005 26.5093884)",26542,1800569361,1800569466,168873915,,service,False,True,10.616,,,,,,,,,,,0.0
"LINESTRING (-81.9172489 26.5097513,-81.9173157 26.5097087,-81.9175388 26.5095959,-81.9176539 26.5095471)",26543,1800569373,1800569395,168873916,Healthpark Circle,residential,False,False,46.333,,,,,,,,,,,17.333333333333332
"LINESTRING (-81.9172489 26.5097513,-81.9171256 26.5098301,-81.916916 26.5099967,-81.9167367 26.5101613,-81.9166156 26.5102367)",26544,1800569373,1800569481,168873916,Healthpark Circle,residential,False,True,83.211,,,,,,,,,,,27.5
"LINESTRING (-81.9172489 26.5097513,-81.9174475 26.5100077,-81.9175119 26.5100797,-81.9175709 26.5101325,-81.9176487 26.5101637,-81.9177533 26.5101781,-81.9189039 26.5101575)",26545,1800569373,1800569343,168873918,Solera Cove Point,residential,False,True,186.773,,,,,,,,,,,16.333333333333332
"LINESTRING (-81.9168565 26.5088988,-81.9169319 26.5088987,-81.9170119 26.5089083,-81.9171056 26.5089314,-81.9171758 26.5089564,-81.9172507 26.5089931,-81.9173183 26.5090349,-81.9173645 26.5090702)",26546,1800569379,1800569409,168873914,Via Solera Circle,residential,False,False,55.442,,,,,,,,,,,35.333333333333336
"LINESTRING (-81.9168565 26.5088988,-81.9167914 26.5089049,-81.9167151 26.5089205,-81.9166269 26.5089443,-81.9165684 26.5089599,-81.9165109 26.5089698,-81.9164631 26.5089707,-81.9164169 26.5089654,-81.9163685 26.508953,-81.9163287 26.5089353,-81.9162904 26.5089115,-81.9162555 26.5088795,-81.9162284 26.5088468,-81.9162056 26.5088094,-81.9161845 26.508757,-81.9161596 26.5086598,-81.9160771 26.5083524,-81.9160647 26.5082785,-81.9160575 26.508198,-81.9160574 26.5081193,-81.9160668 26.5080419,-81.9160824 26.5079801,-81.9161024 26.5079285,-81.9161305 26.5078878,-81.9161711 26.5078423,-81.9162258 26.5078022,-81.9162972 26.5077687,-81.9163858 26.5077424,-81.9165273 26.5077098,-81.9166631 26.5076859,-81.9167745 26.5076739,-81.9168853 26.5076707,-81.916994 26.5076758,-81.9170951 26.507686,-81.9172124 26.5077045,-81.917317 26.5077269,-81.9174949 26.5077743)",26547,1800569379,1800569385,168873914,Via Solera Circle,residential,False,True,321.945,,,,,,,,,,,37.66666666666667
"LINESTRING (-81.9168565 26.5088988,-81.9168574 26.5086996,-81.91686 26.5086704,-81.916867 26.5086373,-81.9168763 26.5086058,-81.9168917 26.5085668,-81.916913 26.5085285,-81.9169447 26.5084819,-81.9169727 26.5084501,-81.9170031 26.5084215,-81.9170427 26.5083934,-81.9170914 26.5083654,-81.917169 26.5083223,-81.9172058 26.5082981,-81.9172376 26.5082735,-81.9172712 26.5082432,-81.917309 26.5082014,-81.9173379 26.5081662,-81.9173642 26.5081257,-81.9173847 26.5080834,-81.9174015 26.5080429,-81.9174949 26.5077743)",26548,1800569379,1800569385,168873921,Cristalino View,residential,False,True,147.696,,,,,,,,,,,37.66666666666667
"LINESTRING (-81.9174949 26.5077743,-81.917317 26.5077269,-81.9172124 26.5077045,-81.9170951 26.507686,-81.916994 26.5076758,-81.9168853 26.5076707,-81.9167745 26.5076739,-81.9166631 26.5076859,-81.9165273 26.5077098,-81.9163858 26.5077424,-81.9162972 26.5077687,-81.9162258 26.5078022,-81.9161711 26.5078423,-81.9161305 26.5078878,-81.9161024 26.5079285,-81.9160824 26.5079801,-81.9160668 26.5080419,-81.9160574 26.5081193,-81.9160575 26.508198,-81.9160647 26.5082785,-81.9160771 26.5083524,-81.9161596 26.5086598,-81.9161845 26.508757,-81.9162056 26.5088094,-81.9162284 26.5088468,-81.9162555 26.5088795,-81.9162904 26.5089115,-81.9163287 26.5089353,-81.9163685 26.508953,-81.9164169 26.5089654,-81.9164631 26.5089707,-81.9165109 26.5089698,-81.9165684 26.5089599,-81.9166269 26.5089443,-81.9167151 26.5089205,-81.9167914 26.5089049,-81.9168565 26.5088988)",26549,1800569385,1800569379,168873914,Via Solera Circle,residential,False,False,321.945,,,,,,,,,,,37.66666666666667
"LINESTRING (-81.9174949 26.5077743,-81.9174015 26.5080429,-81.9173847 26.5080834,-81.9173642 26.5081257,-81.9173379 26.5081662,-81.917309 26.5082014,-81.9172712 26.5082432,-81.9172376 26.5082735,-81.9172058 26.5082981,-81.917169 26.5083223,-81.9170914 26.5083654,-81.9170427 26.5083934,-81.9170031 26.5084215,-81.9169727 26.5084501,-81.9169447 26.5084819,-81.916913 26.5085285,-81.9168917 26.5085668,-81.9168763 26.5086058,-81.916867 26.5086373,-81.91686 26.5086704,-81.9168574 26.5086996,-81.9168565 26.5088988)",26550,1800569385,1800569379,168873921,Cristalino View,residential,False,False,147.696,,,,,,,,,,,37.66666666666667
"LINESTRING (-81.9174949 26.5077743,-81.9177286 26.5078387,-81.9178566 26.5078664,-81.9179832 26.5078896,-81.9181067 26.5079082,-81.9182087 26.5079221)",26551,1800569385,1800569412,168873914,Via Solera Circle,residential,False,True,73.024,,,,,,,,,,,36.5
"LINESTRING (-81.9169106 26.5107857,-81.9189198 26.5107455)",26552,1800569390,1800569464,168873920,Quinta Artesa Way,residential,False,True,199.971,,,,,,,,,,,25.166666666666668
"LINESTRING (-81.9169106 26.5107857,-81.9169352 26.5108598,-81.9170774 26.5113086,-81.917102 26.511379)",26553,1800569390,1800569394,168873926,Via Solera Circle,residential,False,False,68.668,,,,,,,,,,,15.833333333333334
"LINESTRING (-81.9169106 26.5107857,-81.9168842 26.5107062,-81.9168145 26.5105478,-81.9167524 26.5104455,-81.9166156 26.5102367)",26554,1800569390,1800569481,168873926,Via Solera Circle,residential,False,True,68.011,,,,,,,,,,,21.5
"LINESTRING (-81.917102 26.511379,-81.9189359 26.5113431)",26555,1800569394,1800569338,168873919,Boraso Way,residential,False,True,182.521,,,,,,,,,,,27.5
"LINESTRING (-81.917102 26.511379,-81.917144 26.5114992,-81.9173398 26.5119264,-81.9173627 26.5119782)",26556,1800569394,1800569491,168873926,Via Solera Circle,residential,False,False,71.541,,,,,,,,,,,55.666666666666664
"LINESTRING (-81.917102 26.511379,-81.9170774 26.5113086,-81.9169352 26.5108598,-81.9169106 26.5107857)",26557,1800569394,1800569390,168873926,Via Solera Circle,residential,False,True,68.668,,,,,,,,,,,15.833333333333334
"LINESTRING (-81.9176539 26.5095471,-81.9175548 26.509342)",26558,1800569395,1800569476,168873914,Via Solera Circle,residential,False,True,24.847,,,,,,,,,,,4.666666666666666
"LINESTRING (-81.9176539 26.5095471,-81.9177699 26.5095053,-81.9179042 26.5094603,-81.9180415 26.5094217,-81.9181757 26.5093923,-81.9183143 26.5093705,-81.9184559 26.5093554,-81.9186208 26.5093438,-81.9187749 26.5093371)",26559,1800569395,1800569348,168873916,Healthpark Circle,residential,False,False,114.783,,,,,,,,,,,18.75
"LINESTRING (-81.9176539 26.5095471,-81.9175388 26.5095959,-81.9173157 26.5097087,-81.9172489 26.5097513)",26560,1800569395,1800569373,168873916,Healthpark Circle,residential,False,True,46.333,,,,,,,,,,,17.333333333333332
"LINESTRING (-81.9173645 26.5090702,-81.9174072 26.5091099,-81.9174489 26.5091605,-81.9174826 26.5092083,-81.9175244 26.5092807,-81.9175548 26.509342)",26561,1800569409,1800569476,168873914,Via Solera Circle,residential,False,False,35.921,,,,,,,,,,,13.333333333333332
"LINESTRING (-81.9173645 26.5090702,-81.9173183 26.5090349,-81.9172507 26.5089931,-81.9171758 26.5089564,-81.9171056 26.5089314,-81.9170119 26.5089083,-81.9169319 26.5088987,-81.9168565 26.5088988)",26562,1800569409,1800569379,168873914,Via Solera Circle,residential,False,True,55.442,,,,,,,,,,,35.333333333333336
"LINESTRING (-81.9173645 26.5090702,-81.9174607 26.5089786,-81.9174995 26.5089522,-81.9175484 26.508932,-81.91793 26.5088272,-81.917969 26.5088131,-81.9180076 26.5087943,-81.9180424 26.5087686,-81.918075 26.5087392,-81.9181016 26.5087054,-81.9181198 26.5086672,-81.9181334 26.5086296,-81.918143 26.5085789,-81.9182087 26.5079221)",26563,1800569409,1800569412,168873922,Catena Way,residential,False,False,174.211,,,,,,,,,,,34.166666666666664
"LINESTRING (-81.9182087 26.5079221,-81.9181067 26.5079082,-81.9179832 26.5078896,-81.9178566 26.5078664,-81.9177286 26.5078387,-81.9174949 26.5077743)",26564,1800569412,1800569385,168873914,Via Solera Circle,residential,False,False,73.024,,,,,,,,,,,36.5
"LINESTRING (-81.9182087 26.5079221,-81.9183149 26.5079278,-81.9184282 26.5079308,-81.9185586 26.5079322,-81.9186213 26.5079402,-81.9186799 26.5079599,-81.9187283 26.5079862,-81.9187696 26.5080216,-81.9188028 26.508057,-81.9188276 26.5080987,-81.9188453 26.5081444,-81.9188529 26.5081938,-81.9188766 26.509241)",26565,1800569412,1800569441,168873914,Via Solera Circle,residential,False,True,196.479,,,,,,,,,,,31.25
"LINESTRING (-81.9182087 26.5079221,-81.918143 26.5085789,-81.9181334 26.5086296,-81.9181198 26.5086672,-81.9181016 26.5087054,-81.918075 26.5087392,-81.9180424 26.5087686,-81.9180076 26.5087943,-81.917969 26.5088131,-81.91793 26.5088272,-81.9175484 26.508932,-81.9174995 26.5089522,-81.9174607 26.5089786,-81.9173645 26.5090702)",26566,1800569412,1800569409,168873922,Catena Way,residential,False,True,174.211,,,,,,,,,,,34.166666666666664
"LINESTRING (-81.9174395 26.5094701,-81.9174005 26.5093884)",26567,1800569422,1800569466,168873915,,service,False,False,9.879,,,,,,,,,,,0.0
"LINESTRING (-81.9188766 26.509241,-81.9188529 26.5081938,-81.9188453 26.5081444,-81.9188276 26.5080987,-81.9188028 26.508057,-81.9187696 26.5080216,-81.9187283 26.5079862,-81.9186799 26.5079599,-81.9186213 26.5079402,-81.9185586 26.5079322,-81.9184282 26.5079308,-81.9183149 26.5079278,-81.9182087 26.5079221)",26568,1800569441,1800569412,168873914,Via Solera Circle,residential,False,False,196.479,,,,,,,,,,,31.25
"LINESTRING (-81.9188766 26.509241,-81.9188689 26.5092408,-81.9188325 26.5092517,-81.9188025 26.5092731,-81.9187825 26.5093024,-81.9187749 26.5093371)",26569,1800569441,1800569348,168873923,Healthpark Circle,residential,True,False,16.154,,,,,,,roundabout,,,,24.5
"LINESTRING (-81.9188819 26.5094352,-81.9189039 26.5101575)",26570,1800569447,1800569343,168873926,Via Solera Circle,residential,False,True,80.346,,,,,,,,,,,0.0
"LINESTRING (-81.9188819 26.5094352,-81.9189129 26.5094344,-81.9189479 26.5094202,-81.9189753 26.5093961,-81.9189919 26.5093651,-81.9189958 26.5093333,-81.9189871 26.5092998,-81.9189661 26.509271,-81.9189354 26.5092504,-81.9189073 26.5092416,-81.9188766 26.509241)",26571,1800569447,1800569441,168873923,Healthpark Circle,residential,True,False,35.596,,,,,,,roundabout,,,,6.75
"LINESTRING (-81.9189412 26.5119357,-81.9173627 26.5119782)",26572,1800569462,1800569491,168873925,Bodego Way,residential,False,False,157.135,,,,,,,,,,,50.166666666666664
"LINESTRING (-81.9189412 26.5119357,-81.9189548 26.5120239,-81.9189628 26.5122879,-81.9189467 26.5123647,-81.9189011 26.5124295,-81.9188557 26.5124703,-81.9187859 26.5125039,-81.9186733 26.5125303,-81.9177533 26.5125471,-81.9176728 26.5125303,-81.9176138 26.5125039,-81.9175602 26.5124607,-81.9175146 26.5124103,-81.9174793 26.5123489,-81.9174073 26.5120791,-81.9173627 26.5119782)",26573,1800569462,1800569491,168873926,Via Solera Circle,residential,False,True,253.665,,,,,,,,,,,50.166666666666664
"LINESTRING (-81.9189412 26.5119357,-81.9189253 26.5118319,-81.9189226 26.5117143,-81.9189414 26.5115438,-81.9189359 26.5113431)",26574,1800569462,1800569338,168873926,Via Solera Circle,residential,False,False,66.104,,,,,,,,,,,22.0
"LINESTRING (-81.9189198 26.5107455,-81.9169106 26.5107857)",26575,1800569464,1800569390,168873920,Quinta Artesa Way,residential,False,False,199.971,,,,,,,,,,,25.166666666666668
"LINESTRING (-81.9189198 26.5107455,-81.9189039 26.5101575)",26576,1800569464,1800569343,168873926,Via Solera Circle,residential,False,False,65.402,,,,,,,,,,,14.833333333333334
"LINESTRING (-81.9189198 26.5107455,-81.9189359 26.5113431)",26577,1800569464,1800569338,168873926,Via Solera Circle,residential,False,True,66.469,,,,,,,,,,,36.833333333333336
"LINESTRING (-81.9174005 26.5093884,-81.9173586 26.5093006)",26578,1800569466,1800569361,168873915,,service,False,False,10.616,,,,,,,,,,,0.0
"LINESTRING (-81.9174005 26.5093884,-81.9174395 26.5094701)",26579,1800569466,1800569422,168873915,,service,False,True,9.879,,,,,,,,,,,0.0
"LINESTRING (-81.9174005 26.5093884,-81.9175548 26.509342)",26580,1800569466,1800569476,168873917,,service,False,True,16.197,,,,,,,,,,,3.6666666666666665
"LINESTRING (-81.9175548 26.509342,-81.9176539 26.5095471)",26581,1800569476,1800569395,168873914,Via Solera Circle,residential,False,False,24.847,,,,,,,,,,,4.666666666666666
"LINESTRING (-81.9175548 26.509342,-81.9174005 26.5093884)",26582,1800569476,1800569466,168873917,,service,False,False,16.197,,,,,,,,,,,3.6666666666666665
"LINESTRING (-81.9175548 26.509342,-81.9175244 26.5092807,-81.9174826 26.5092083,-81.9174489 26.5091605,-81.9174072 26.5091099,-81.9173645 26.5090702)",26583,1800569476,1800569409,168873914,Via Solera Circle,residential,False,True,35.921,,,,,,,,,,,13.333333333333332
"LINESTRING (-81.9166156 26.5102367,-81.9167367 26.5101613,-81.916916 26.5099967,-81.9171256 26.5098301,-81.9172489 26.5097513)",26584,1800569481,1800569373,168873916,Healthpark Circle,residential,False,False,83.211,,,,,,,,,,,27.5
"LINESTRING (-81.9166156 26.5102367,-81.9165168 26.5102982,-81.9162572 26.5104324,-81.9161479 26.5104889)",26585,1800569481,1756887011,168873916,Healthpark Circle,residential,False,True,54.367,,,,,,,,,,,11.166666666666666
"LINESTRING (-81.9166156 26.5102367,-81.9167524 26.5104455,-81.9168145 26.5105478,-81.9168842 26.5107062,-81.9169106 26.5107857)",26586,1800569481,1800569390,168873926,Via Solera Circle,residential,False,False,68.011,,,,,,,,,,,21.5
"LINESTRING (-81.9173627 26.5119782,-81.9189412 26.5119357)",26587,1800569491,1800569462,168873925,Bodego Way,residential,False,True,157.135,,,,,,,,,,,50.166666666666664
"LINESTRING (-81.9173627 26.5119782,-81.9174073 26.5120791,-81.9174793 26.5123489,-81.9175146 26.5124103,-81.9175602 26.5124607,-81.9176138 26.5125039,-81.9176728 26.5125303,-81.9177533 26.5125471,-81.9186733 26.5125303,-81.9187859 26.5125039,-81.9188557 26.5124703,-81.9189011 26.5124295,-81.9189467 26.5123647,-81.9189628 26.5122879,-81.9189548 26.5120239,-81.9189412 26.5119357)",26588,1800569491,1800569462,168873926,Via Solera Circle,residential,False,False,253.665,,,,,,,,,,,50.166666666666664
"LINESTRING (-81.9173627 26.5119782,-81.9173398 26.5119264,-81.917144 26.5114992,-81.917102 26.511379)",26589,1800569491,1800569394,168873926,Via Solera Circle,residential,False,True,71.541,,,,,,,,,,,55.666666666666664
"LINESTRING (-81.9130085 26.5082988,-81.9129709 26.5079195)",26590,1800580271,1800580377,168874765,,service,False,True,42.342,,,,,,,,,,,0.0
"LINESTRING (-81.9130085 26.5082988,-81.9129387 26.5083396,-81.912882 26.5084294,-81.9128216 26.5086117)",26591,1800580271,1800580276,168874771,,service,False,False,40.908,,,,,,,,,,,0.0
"LINESTRING (-81.9130085 26.5082988,-81.9130939 26.5082781,-81.9132199 26.5083045)",26592,1800580271,1800580292,168874771,,service,False,True,21.681,,,,,,,,,,,0.0
"LINESTRING (-81.9135851 26.5057137,-81.9134452 26.5056739)",26593,1800580274,1800586022,662268908,,service,False,False,14.608,,,,parking_aisle,,,,,,,0.0
"LINESTRING (-81.9135851 26.5057137,-81.9137694 26.5057852)",26594,1800580274,1800590233,662268908,,service,False,True,19.988,,,,parking_aisle,,,,,,,0.0
